"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Tchepemen N.; Balasubramanian S.; Kanagaraj N.; Kengne E.","Tchepemen, Nathan (57210451067); Balasubramanian, Sudharsan (55817606300); Kanagaraj, Nithyanandan (36246432800); Kengne, Emmanuel (8854043800)","57210451067; 55817606300; 36246432800; 8854043800","Modulational instability in a coupled nonlocal media with cubic, quintic and septimal nonlinearities","2023","Nonlinear Dynamics","111","21","","20311","20329","18","10","10.1007/s11071-023-08951-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173981139&doi=10.1007%2fs11071-023-08951-4&partnerID=40&md5=1a647451781a4b7b6f7bfab5e1f6f5d4","Article","Final","","Scopus","2-s2.0-85173981139"
"Peterka P.; Koška P.; Jasim A.A.; Kanagaraj N.; Aubrecht J.; Kamrádek M.; Podrazký O.; Todorov F.; Kašik I.; Honzátko P.","Peterka, Pavel (6602769922); Koška, Pavel (55644355900); Jasim, Ali A. (57212397480); Kanagaraj, Nithyanandan (36246432800); Aubrecht, Jan (22978680900); Kamrádek, Michal (55578827600); Podrazký, Ondřej (22981226900); Todorov, Filip (12345187800); Kašik, Ivan (7004504748); Honzátko, Pavel (6602116389)","6602769922; 55644355900; 57212397480; 36246432800; 22978680900; 55578827600; 22981226900; 12345187800; 7004504748; 6602116389","Enhanced pump absorption efficiency in coiled and twisted double-clad fibers for fiber lasers","2019","International Conference on Transparent Optical Networks","2019-July","","8840274","","","","2","10.1109/ICTON.2019.8840274","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073075373&doi=10.1109%2fICTON.2019.8840274&partnerID=40&md5=699ff9a3293fede0be28c289c8404a94","Conference paper","Final","","Scopus","2-s2.0-85073075373"
"Kanagaraj N.; Djevarhidjian L.; Duran V.; Schnebelin C.; De Chatellus H.G.","Kanagaraj, Nithyanandan (36246432800); Djevarhidjian, Leo (57202733578); Duran, Vicente (7004082718); Schnebelin, Come (56347323200); De Chatellus, Hugues Guillet (24072741200)","36246432800; 57202733578; 7004082718; 56347323200; 24072741200","Optimization of acousto-optic optical frequency combs","2019","Optics Express","27","10","","14842","14852","10","34","10.1364/OE.27.014842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065831030&doi=10.1364%2fOE.27.014842&partnerID=40&md5=c783d95b5b9cf326a4bdfdf7b2d75bb5","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85065831030"
"Nithyanandan K.; Porsezian K.","Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","36246432800; 35561975500","Observation of two state behavior in the instability spectra of saturable nonlinear media","2013","European Physical Journal: Special Topics","222","3-4","","821","825","4","10","10.1140/epjst/e2013-01885-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880128551&doi=10.1140%2fepjst%2fe2013-01885-0&partnerID=40&md5=142acfb04edfe37b20fec9ac41e2df0d","Article","Final","","Scopus","2-s2.0-84880128551"
"Porsezian K.; Nithyanandan K.","Porsezian, Kuppuswamy (35561975500); Nithyanandan, K. (36246432800)","35561975500; 36246432800","A theoretical study on modulational instability in relaxing saturable nonlinear optical media","2017","Odyssey of Light in Nonlinear Optical Fibers: Theory and Applications","","","","97","132","35","0","10.1201/b19377-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140516252&doi=10.1201%2fb19377-5&partnerID=40&md5=5aa2fd1c6d66f70e3c996f1e9f31b228","Book chapter","Final","","Scopus","2-s2.0-85140516252"
"Krupa K.; Nithyanandan K.; Grelu P.","Krupa, Katarzyna (23467266100); Nithyanandan, K. (36246432800); Grelu, Philippe (6602757933)","23467266100; 36246432800; 6602757933","Vector dynamics of incoherent dissipative optical solitons","2017","Optica","4","10","302181","1239","1244","5","107","10.1364/OPTICA.4.001239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032810605&doi=10.1364%2fOPTICA.4.001239&partnerID=40&md5=03687eac504cc977fe2f004e1d8cc1a4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85032810605"
"Jacob B.; Jegaraj J.R.; Kanagaraj N.","Jacob, Bharathy (60121650100); Jegaraj, John Rozario (60244489200); Kanagaraj, Nithyanandan (36246432800)","60121650100; 60244489200; 36246432800","An all-optical passive device based on wavelength-adaptive diffractive neural network for dynamic beam shaping","2026","Optics and Lasers in Engineering","201","","109703","","","","0","10.1016/j.optlaseng.2026.109703","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031456075&doi=10.1016%2fj.optlaseng.2026.109703&partnerID=40&md5=34a1faba0626dd998bc68c5d7a69e081","Article","Final","","Scopus","2-s2.0-105031456075"
"Kumar M.; Nithyanandan K.; Porsezian K.","Kumar, Monisha (57195633542); Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","57195633542; 36246432800; 35561975500","Influence of spatial delay on the modulational instability in a composite system with a controllable nonlinearity","2018","Physical Review E","97","6","062208","","","","7","10.1103/PhysRevE.97.062208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048737928&doi=10.1103%2fPhysRevE.97.062208&partnerID=40&md5=15ff5634c78254452beea926914c8327","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85048737928"
"Devkar K.; Arunkumar S.; Bhakta T.; Bharadwaj S.R.; Kanagaraj N.; Ganapathy N.","Devkar, Krushna (59710141700); Arunkumar, S. (57939941400); Bhakta, Tithi (59710327300); Bharadwaj, Shrikant R. (7005948157); Kanagaraj, Nithyanandan (36246432800); Ganapathy, Nagarajan (58296234200)","59710141700; 57939941400; 59710327300; 7005948157; 36246432800; 58296234200","Explainable XceptionNet-Based Keratoconus Detection Using Infrared Images and Edge Computing","2025","IEEE Sensors Letters","9","1","6000404","","","","4","10.1109/LSENS.2024.3509503","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001172375&doi=10.1109%2fLSENS.2024.3509503&partnerID=40&md5=98e5cabed871bfe1a61e93a05e6388ce","Article","Final","","Scopus","2-s2.0-105001172375"
"Sharafali A.; Nithyanandan K.","Sharafali, A. (56367906600); Nithyanandan, K. (36246432800)","56367906600; 36246432800","Ultra-broadband continuum generation in silica based defective core photonic crystal fiber","2019","Optik","191","","","121","131","10","8","10.1016/j.ijleo.2019.06.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067082938&doi=10.1016%2fj.ijleo.2019.06.014&partnerID=40&md5=9bdf979f25fdc5184c7cc4a8aff746d5","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85067082938"
